laptop_id,Name,Price,Rating,Total_Reviews,Product_Link,Processor,RAM,Operating_System,Storage,Warranty
1,"Samsung Galaxy Book4 Metal",56990,4.4,19735,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-np750xgj-lg6in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_kXWkwc5WAOHuBn_u5WwmbbJxdN-ia_TgvRpw6L_mTRCLrMXFASYbOtPsxxUiDEBnsfGME0kkMQMICwGxasfmZSpiZoP3ZcDDMuaOuWFYumMvd7d2LSUEeJYJYxyzNm4N&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,"Intel Core i5 Processor (13th Gen)","8 GB LPDDR4X RAM","64 bit Windows 11","512 GB SSD","1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories"
2,"ASUS Vivobook S14 (2025)(i5 14th Gen)",65990,4.4,140,https://www.flipkart.com/asus-vivobook-s14-2025-i5-14th-gen-office-2024-m365-basic-backlit-keyboard-intel-core-5-210h-16-gb-512-gb-ssd-windows-11-home-s3407va-ly075ws-thin-light-laptop/p/itm2ba976d7093b2?pid=COMHEZZTSJAU3CDG&lid=LSTCOMHEZZTSJAU3CDG0SIINF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=bae6476f-85ba-40a0-889b-71a08a1cb35f.COMHEZZTSJAU3CDG.SEARCH&ppt=sp&ppn=sp&ssid=h7u7ths5xc0000001784730922905&qH=312f91285e048e09&ov_redirect=true,"Intel Core 5 Processor","16 GB DDR5 RAM","Windows 11 Home","512 GB SSD","1 Year Onsite Warranty"
3,"HP 14 AI PC",89990,4.1,790,https://www.flipkart.com/hp-14-ai-pc-intel-core-ultra-7-155h-24-gb-1-tb-ssd-windows-11-home-14-ep1181tu-thin-light-laptop/p/itm5d64ff09a148b?pid=COMHG98E5BBG8TAD&lid=LSTCOMHG98E5BBG8TADUEWRKG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMHG98E5BBG8TAD.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,"Intel Core Ultra 7 Processor","24 GB DDR5 RAM","Windows 11 Home","1 TB SSD","1 Year Onsite Warranty"
4,"Samsung Galaxy Book5 AI Metal",84990,4.6,837,https://www.flipkart.com/samsung-galaxy-book5-ai-metal-intel-core-ultra-5-225u-16-gb-512-gb-ssd-windows-11-home-np750xhd-thin-light-laptop/p/itmc33d2563d0ffc?pid=COMHE4ATPCZ9FXRP&lid=LSTCOMHE4ATPCZ9FXRP7N1GVG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_42&otracker=search&fm=organic&iid=en_Q1C_KtzCI8zDLFcmGomTJTPJvXPAf6azCFvpRBN1NHzyILiBn4gaG6MJslm2xAgO3WHJiuMjlX0EHxFVCjPkyeUBYPBIqgZE3mSuDz4HsbkgHM8ej7ZbhmAvSMToc60m&ppt=sp&ppn=sp&ssid=h7u7ths5xc0000001784730922905&qH=312f91285e048e09&ov_redirect=true,"Intel Core Ultra 5 Processor","16 GB LPDDR5X RAM","64 bit Windows 11","512 GB SSD","1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories"
5,"Samsung Galaxy Book4 Metal",56990,4.4,19735,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-np750xgj-lg6in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_27&otracker=search&fm=organic&iid=en_Q1C_KtzCI8zDLFcmGomTJTPJvXPAf6azCFvpRBN1NHygRgO3WRv6x6IWk_vo-gjcsfGME0kkMQMICwGxasfmZSpiZoP3ZcDDMuaOuWFYumMgHM8ej7ZbhmAvSMToc60m&ppt=sp&ppn=sp&ssid=h7u7ths5xc0000001784730922905&qH=312f91285e048e09&ov_redirect=true,"Intel Core i5 Processor (13th Gen)","8 GB LPDDR4X RAM","64 bit Windows 11","512 GB SSD","1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories"
6,"Samsung Galaxy Book4 Metal",57490,4.4,10670,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg9in-thin-light-laptop/p/itmc29d559898e6f?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_28&otracker=search&fm=organic&iid=en_Q1C_KtzCI8zDLFcmGomTJTPJvXPAf6azCFvpRBN1NHzP1-9yjELkRIjCtzSH4B7aVqKfzRTPmTYCvEc1OQ2_kCChg9vAnpscSdI7uOc1ZHUgHM8ej7ZbhmAvSMToc60m&ppt=sp&ppn=sp&ssid=h7u7ths5xc0000001784730922905&qH=312f91285e048e09&ov_redirect=true,"Intel Core i3 Processor (13th Gen)","8 GB LPDDR4X RAM","64 bit Windows 11","512 GB SSD","1 Year Onsite Warranty"
7,"Acer Aspire Lite",47990,4.1,1615,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-3-quad-core-5300u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMH28U4WDFBUKP3&lid=LSTCOMH28U4WDFBUKP3PFEZVB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=bae6476f-85ba-40a0-889b-71a08a1cb35f.COMH28U4WDFBUKP3.SEARCH&ppt=sp&ppn=sp&ssid=h7u7ths5xc0000001784730922905&qH=312f91285e048e09&ov_redirect=true,"AMD Ryzen 3 Quad Core Processor","16 GB DDR4 RAM","Windows 11","512 GB SSD","1 Year Carry-in Warranty"
8,"Acer Aspire 3",34990,3.8,9828,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmc0ed9561d2e85?pid=COMHCC7BGNVEZA9B&lid=LSTCOMHCC7BGNVEZA9B1YZNGS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_43&otracker=search&fm=organic&iid=bae6476f-85ba-40a0-889b-71a08a1cb35f.COMHCC7BGNVEZA9B.SEARCH&ppt=sp&ppn=sp&ssid=h7u7ths5xc0000001784730922905&qH=312f91285e048e09&ov_redirect=true,"Intel Celeron Dual Core Processor","8 GB DDR4 RAM","64 bit Windows 11 Home","512 GB SSD","1 Year Warranty"
9,"Acer Aspire 3",54990,4.1,2005,https://www.flipkart.com/acer-aspire-3-backlit-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-as15-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397XPF4Z3BMX&lid=LSTCOMH397XPF4Z3BMXL8O53G&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=bae6476f-85ba-40a0-889b-71a08a1cb35f.COMH397XPF4Z3BMX.SEARCH&ppt=sp&ppn=sp&ssid=h7u7ths5xc0000001784730922905&qH=312f91285e048e09&ov_redirect=true,"AMD Ryzen 7 Octa Core Processor","16 GB DDR4 RAM","Windows 11","512 GB SSD","1 Year Carry-in Warranty"
10,"HP Omnibook 3 2K WUXGA",72990,4.1,11,https://www.flipkart.com/hp-omnibook-3-2k-wuxga-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-14-hz0024qu-laptop/p/itmbd5346cd09abc?pid=COMHZGK2ACSECZB5&lid=LSTCOMHZGK2ACSECZB52ALLPO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_31&otracker=search&fm=organic&iid=en_Q1C_KtzCI8zDLFcmGomTJTPJvXPAf6azCFvpRBN1NHwRtUIWtEIFrj3PhS27hPHrQDaMOpjaAqIhVlr2eDOqkK8WMJxc_eOD3pdFe_35DQUgHM8ej7ZbhmAvSMToc60m&ppt=sp&ppn=sp&ssid=h7u7ths5xc0000001784730922905&qH=312f91285e048e09&ov_redirect=true,"Snapdragon X Processor","16 GB LPDDR5X RAM","Windows 11 Home","512 GB SSD","1 Year Onsite Service"
