Page,Item_No,Name,Price,Rating,Reviews,Image_URL,Product_Link,Specifications
1,1,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,"₹56,990",4.4,"19,735 Ratings",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/t/y/-enriched-transparent-original-imahg53xspmfrsdd.png?q=70,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-np750xgj-lg6in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_kXWkwc5WAOHuBn_u5WwmbbJxdN-ia_TgvRpw6L_mTRCLrMXFASYbOtPsxxUiDEBnsfGME0kkMQMICwGxasfmZSpiZoP3ZcDDMuaOuWFYumMvd7d2LSUEeJYJYxyzNm4N&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core i5 Processor (13th Gen) | 8 GB LPDDR4X RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
1,2,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹57,490",4.4,"10,670 Ratings",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/k/o/-enriched-transparent-original-imahg53xmzmtsynn.png?q=70,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg9in-thin-light-laptop/p/itmc29d559898e6f?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_kXWkwc5WAOHuBn_u5WwmbbJxdN-ia_TgvRpw6L_mTRAf-dcUM_moDMTFpRI2XQQhVqKfzRTPmTYCvEc1OQ2_kCChg9vAnpscSdI7uOc1ZHUvd7d2LSUEeJYJYxyzNm4N&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core i3 Processor (13th Gen) | 8 GB LPDDR4X RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty
1,3,ASUS ExpertBook P1 (i3 14th Gen) with 1 Yr ADP Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 1...,"₹50,990",4.3,"6,585 Ratings",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/7/u/-original-imahmpquxzztyzny.jpeg?q=70,https://www.flipkart.com/asus-expertbook-p1-i3-14th-gen-1-yr-adp-intel-core-3-gen-100u-8-gb-512-gb-ssd-windows-11-home-p1403cva-s61821ws-thin-light-laptop/p/itm2be4c7e3b9728?pid=COMHGYAFPJ2BGX6H&lid=LSTCOMHGYAFPJ2BGX6HVGQ2CF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMHGYAFPJ2BGX6H.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core 3 Processor (14th Gen) | 8 GB DDR5 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Limited Warranty
1,4,Ultimus Apex Pro Intel Pentium Quad Core N4200 - (4 GB/128 GB SSD/128 GB EMMC Storage/Windows 11 Home)...,"₹19,990",3.3,18 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/j/x/nu14u8inc54ls-sg-laptop-ultimus-original-imahmgehjeyhmtdc.jpeg?q=70,https://www.flipkart.com/ultimus-apex-pro-intel-pentium-quad-core-n4200-4-gb-128-gb-ssd-128-emmc-storage-windows-11-home-nu14u8inc54ls-sg-laptop/p/itm57488f91f02c8?pid=COMHMGEHKYSXQHGY&lid=LSTCOMHMGEHKYSXQHGYMPSKLY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_TrendingId_6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMHMGEHKYSXQHGY.SEARCH&ppt=sp&ppn=sp&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Pentium Quad Core Processor | 4 GB DDR3 RAM | Windows 11 Home Operating System | 128 GB SSD | 35.81 cm (14.1 inch) Display | 1 Year Domestic Warranty
1,5,ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,"₹42,990",4.3,"1,330 Ratings",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/i/d/-original-imah8fzgxzjamzju.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-8-gb-512-gb-ssd-windows-11-home-x1504va-d5321ws-thin-light-laptop/p/itma044347a6922b?pid=COMHGWQY66YNGVFK&lid=LSTCOMHGWQY66YNGVFKYKVYYT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMHGWQY66YNGVFK.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core i3 Processor (13th Gen) | 8 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 + Microsoft 365 Basic | 1 Year Onsite Warranty
1,6,HP Omnibook 3 2K WUXGA Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) Omnibook 3 14-hz0024QU Laptop,"₹72,990",4.1,11 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/e/9/-original-imahzvfcsqpynrcd.jpeg?q=70,https://www.flipkart.com/hp-omnibook-3-2k-wuxga-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-14-hz0024qu-laptop/p/itmbd5346cd09abc?pid=COMHZGK2ACSECZB5&lid=LSTCOMHZGK2ACSECZB52ALLPO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_kXWkwc5WAOHuBn_u5WwmbbJxdN-ia_TgvRpw6L_mTRA-5DlAARiZKzVMOzrW9hXDJwkPSgI3pWoP4E-2tvBt0xXLCVRPNn1sRr5fpWlzk8hLKG7T6yH8CQx15uhM7w_j&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 inch) Display | MS Office Home 2024 | 1 Year Onsite Service
1,7,Acer Aspire 3 Intel Pentium Quad Core N6000 - (12 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Ligh...,"₹39,938",3.9,"3,900 Ratings",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/6/p/-original-imah3yhqcgjtxfhw.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-pentium-quad-core-n6000-12-gb-512-gb-ssd-windows-11-home-a325-45-thin-light-laptop/p/itm9ca67a1a3ea22?pid=COMH59ENQYHDYJGX&lid=LSTCOMH59ENQYHDYJGX1QWEL9&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMH59ENQYHDYJGX.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Pentium Quad Core Processor | 12 GB LPDDR4X RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year International Travelers Warranty (ITW)
1,8,ASUS ROG Zephyrus G16 OLED (2026) Intel Core Ultra 9 386H - (32 GB/2 TB SSD/Windows 11 Home/12 GB Grap...,"₹4,99,990",Not Found,Not Found,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/d/3/-original-imahzwfkpke4ryht.jpeg?q=70,https://www.flipkart.com/asus-rog-zephyrus-g16-oled-2026-intel-core-ultra-9-386h-32-gb-2-tb-ssd-windows-11-home-12-gb-graphics-nvidia-geforce-rtx-5070-ti-240-hz-gu606ar-tb039ws-gaming-laptop/p/itmdee0c1001d6a1?pid=COMHNHH8FBHVAY2N&lid=LSTCOMHNHH8FBHVAY2NVLQNF7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMHNHH8FBHVAY2N.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,"Intel Core Ultra 9 Processor | 32 GB LPDDR5X RAM | Windows 11 Home Operating System | 2 TB SSD | 40.64 cm (16 inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic with 100GB Cloud Storage for 1 Year, McAfee 1 year, Xbox Game Pass for 2 months | 1 Year Onsite Service"
1,9,HP 14 AI PC Intel Core Ultra 7 155H - (24 GB/1 TB SSD/Windows 11 Home) 14-ep1181TU Thin and Light Lapt...,"₹89,990",4.1,790 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/a/b/-original-imahgh9egyp3mfxj.jpeg?q=70,https://www.flipkart.com/hp-14-ai-pc-intel-core-ultra-7-155h-24-gb-1-tb-ssd-windows-11-home-14-ep1181tu-thin-light-laptop/p/itm5d64ff09a148b?pid=COMHG98E5BBG8TAD&lid=LSTCOMHG98E5BBG8TADUEWRKG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMHG98E5BBG8TAD.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core Ultra 7 Processor | 24 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty
1,10,Currently unavailable,Not Found,4.1,"2,487 Ratings",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/a/o/-original-imah7tknwg7brmfv.jpeg?q=70,https://www.flipkart.com/acer-aspire-intel-core-i5-12th-gen-12450h-12-gb-512-gb-ssd-windows-11-home-al15-52h-thin-light-laptop/p/itmc262e2fa338ce?pid=COMH59E4MRQZEJEH&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMH59E4MRQZEJEH.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core i5 Processor (12th Gen) | 12 GB LPDDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty
